Name,Description,Price (USD),Unit amount (cents),Currency,Lookup key (SKU),Collection,Fabric,Sizes,Availability,Image URL
"Jide Agbada Set","A deep teal-blue set with a gold diamond-and-crescent embroidery at the chest, worn over a matching trouser.",80,8000,usd,"jide-agbada-set","men","brocade","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-40.jpg"
"Ayo Leisure Set","A white textured co-ord: oversized tee with a birdcage motif at the chest and a pleated relaxed trouser.",80,8000,usd,"ayo-leisure-set","men","brocade","S | M | L | XL | XXL","in-stock","https://afrinoble.netlify.app/media/look-41.jpg"
"Chike Agbada — Three Piece","A midnight-navy three-piece agbada with an interlocking geometric panel of bronze, blue and gold squares at the chest.",120,12000,usd,"chike-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-42.jpg"
"Emeka Agbada — Three Piece","A black three-piece agbada with a textured bib framed in champagne piping and an isometric gold cube motif.",120,12000,usd,"emeka-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-43.jpg"
"Dele Agbada — Three Piece","An all-black three-piece agbada with a tonal beaded bib and matching cap — black on black, texture on texture.",120,12000,usd,"dele-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-44.jpg"
"Oba Agbada — Three Piece","A white three-piece agbada with a sweeping basketweave-embroidered bib traced in gold studs, curving from shoulder to hem line.",120,12000,usd,"oba-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-45.jpg"
"Obasi Agbada — Three Piece","An olive three-piece agbada with a gold interlocking-rings bib bordered in fine chain embroidery.",120,12000,usd,"obasi-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-46.jpg"
"Segun Agbada — Three Piece","A black three-piece agbada with a grid of square gold studs across the bib and an echoing cluster below, finished with a matching cap.",120,12000,usd,"segun-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-47.jpg"
"Kunle Agbada — Three Piece","A maroon three-piece agbada with a chest panel of embroidered check diamonds in red and black.",120,12000,usd,"kunle-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-48.jpg"
"Osei Agbada — Three Piece","A caramel three-piece agbada with an abstract appliqué chest panel — triangles, crescents and squares in tobacco and gold.",120,12000,usd,"osei-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-49.jpg"
"Adisa Agbada — Three Piece","An olive-green three-piece agbada with tonal diamond embroidery descending the chest, styled with cap and beads.",120,12000,usd,"adisa-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-50.jpg"
"Bayo Agbada — Three Piece","A royal-blue three-piece agbada with a single tonal diamond motif at the chest and a matching soft cap.",120,12000,usd,"bayo-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-51.jpg"
"Nkem Agbada — Three Piece","A deep green three-piece agbada with a teal mosaic-embroidered bib falling to a point at the chest.",120,12000,usd,"nkem-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-52.jpg"
"Rotimi Agbada — Three Piece","A rose three-piece agbada with a framed bib of tile-work embroidery and scattered crystal points.",120,12000,usd,"rotimi-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-53.jpg"
"Chidi Agbada — Three Piece","A plum three-piece agbada with tonal embroidery — a laddered placket, diamond band and circular medallion, all in self-colour.",120,12000,usd,"chidi-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-54.jpg"
"Jaja Agbada — Three Piece","A champagne three-piece agbada with a fretwork bib carrying an embroidered lion at its centre.",120,12000,usd,"jaja-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-55.jpg"
"Mansa Agbada — Three Piece","A mocha three-piece agbada with chain-link embroidery over the shoulders and a looped rosette knot at the chest.",120,12000,usd,"mansa-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-56.jpg"
"Kobina Agbada — Three Piece","A chocolate three-piece agbada with a cross-stitch sampler bib in cream and cocoa falling to a rounded point.",120,12000,usd,"kobina-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-57.jpg"
"Okon Agbada — Three Piece","A black three-piece agbada with rows of gold-tipped tassel embroidery on the bib and a corded rosette, with matching cap.",120,12000,usd,"okon-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-58.jpg"
"Wale Agbada — Three Piece","A gold-ochre three-piece agbada with a honeycomb-embroidered bib outlined in black, with matching cap.",120,12000,usd,"wale-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-59.jpg"
"Tunji Agbada — Three Piece","A burgundy three-piece agbada edged in gold piping with a serpentine beaded panel cascading down the chest.",120,12000,usd,"tunji-agbada","men","brocade","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-60.jpg"
